"drug"	"disease"	"probs"	"Drug name"	"OMIM disease name"
"DB00564"	"173200"	"0.721204289"	"Carbamazepine"	"Pityriasis Rubra Pilaris"
"DB00537"	"126200"	"0.721010682"	"Ciprofloxacin"	"Multiple Sclerosis, Susceptibility To; Ms"
"DB00482"	"210050"	"0.719350241"	"Celecoxib"	"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
"DB00515"	"304790"	"0.719328933"	"Cisplatin"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00880"	"107650"	"0.719028513"	"Chlorothiazide"	"Apnea, Obstructive Sleep"
"DB00215"	"608217"	"0.718796958"	"Citalopram"	"Epilepsy, Benign Neonatal, 3; Ebn3"
"DB00958"	"175100"	"0.718543327"	"Carboplatin"	"Adenomatous Polyposis Of The Colon; Apc"
"DB00215"	"166300"	"0.718239273"	"Citalopram"	"Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy"
"DB04272"	"188050"	"0.717650509"	"Citric Acid"	"Thrombosis, Susceptibility To"
"DB00475"	"190400"	"0.717507913"	"Chlordiazepoxide"	"Trigeminal Neuralgia"
"DB00475"	"143465"	"0.717455628"	"Chlordiazepoxide"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00564"	"308205"	"0.717277518"	"Carbamazepine"	"Ichthyosis Follicularis, Atrichia, And Photophobia Syndrome"
"DB00958"	"188470"	"0.717206419"	"Carboplatin"	"Thyroid Carcinoma, Follicular; Ftc"
"DB00482"	"600082"	"0.715659965"	"Celecoxib"	"Prostatic Hyperplasia, Benign; Bph"
"DB00521"	"115645"	"0.715566771"	"Carteolol"	"Cataract, Aberrant Oral Frenula, And Growth Retardation"
"DB00262"	"246400"	"0.715451864"	"Carmustine"	"Letterer-Siwe Disease"
"DB00501"	"145590"	"0.714804342"	"Cimetidine"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00564"	"110100"	"0.714778042"	"Carbamazepine"	"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
"DB01101"	"304790"	"0.71460775"	"Capecitabine"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00501"	"600807"	"0.714607493"	"Cimetidine"	"Asthma, Susceptibility To"
"DB00521"	"157700"	"0.714366945"	"Carteolol"	"Mitral Valve Prolapse, Familial; Mvp"
"DB00482"	"200170"	"0.714212334"	"Celecoxib"	"Acanthosis Nigricans With Muscle Cramps And Acral Enlargement"
"DB00564"	"256370"	"0.712749028"	"Carbamazepine"	"Nephrotic Syndrome, Early-Onset, With Diffuse Mesangial Sclerosis"
"DB00501"	"136200"	"0.712291483"	"Cimetidine"	"Flushing Of Ears And Somnolence"
"DB04272"	"190300"	"0.712220555"	"Citric Acid"	"Tremor, Hereditary Essential, 1; Etm1"
"DB00477"	"606798"	"0.712152496"	"Chlorpromazine"	"Blepharospasm, Benign Essential"
"DB00310"	"189800"	"0.712109898"	"Chlorthalidone"	"Preeclampsia/Eclampsia 1; Pee1"
"DB04272"	"150600"	"0.712077119"	"Citric Acid"	"Legg-Calve-Perthes Disease"
"DB00215"	"208920"	"0.711170239"	"Citalopram"	"Ataxia, Early-Onset, With Oculomotor Apraxia And Hypoalbuminemia;"
"DB00262"	"155601"	"0.708858738"	"Carmustine"	"Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2"
"DB00501"	"210050"	"0.707921382"	"Cimetidine"	"Berry Aneurysm, Cirrhosis, Pulmonary Emphysema, And Cerebral Calcification"
"DB04272"	"144650"	"0.707694414"	"Citric Acid"	"Hyperlipoproteinemia, Type V"
"DB00482"	"600807"	"0.707603243"	"Celecoxib"	"Asthma, Susceptibility To"
"DB00537"	"157700"	"0.707339769"	"Ciprofloxacin"	"Mitral Valve Prolapse, Familial; Mvp"
"DB00215"	"311360"	"0.704892883"	"Citalopram"	"Premature Ovarian Failure 1; Pof1"
"DB00521"	"137760"	"0.704341215"	"Carteolol"	"Glaucoma, Primary Open Angle; Poag"
"DB00958"	"161900"	"0.704337317"	"Carboplatin"	"Renal Failure, Progressive, With Hypertension"
"DB00958"	"171300"	"0.703429615"	"Carboplatin"	"Pheochromocytoma"
"DB00482"	"203700"	"0.702933317"	"Celecoxib"	"Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis"
"DB00515"	"137800"	"0.702824027"	"Cisplatin"	"Glioma Susceptibility 1; Glm1"
"DB00564"	"215140"	"0.70248782"	"Carbamazepine"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB04272"	"110100"	"0.701698666"	"Citric Acid"	"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
"DB00475"	"600351"	"0.701512632"	"Chlordiazepoxide"	"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
"DB04272"	"189800"	"0.701197441"	"Citric Acid"	"Preeclampsia/Eclampsia 1; Pee1"
"DB04272"	"137580"	"0.699811638"	"Citric Acid"	"Gilles De La Tourette Syndrome; Gts"
"DB00215"	"145500"	"0.699544887"	"Citalopram"	"Hypertension, Essential"
"DB00880"	"158280"	"0.699507967"	"Chlorothiazide"	"Motion Sickness"
"DB00880"	"125850"	"0.699474962"	"Chlorothiazide"	"Maturity-Onset Diabetes Of The Young, Type 1; Mody1"
"DB00564"	"189600"	"0.69918691"	"Carbamazepine"	"Torticollis"
"DB00608"	"115645"	"0.697606221"	"Chloroquine"	"Cataract, Aberrant Oral Frenula, And Growth Retardation"
"DB00515"	"151400"	"0.69741058"	"Cisplatin"	"Leukemia, Chronic Lymphocytic; Cll"
"DB00262"	"104300"	"0.697400655"	"Carmustine"	"Alzheimer Disease; Ad"
"DB00564"	"602068"	"0.697156038"	"Carbamazepine"	"Leishmaniasis, Tegumentary, Susceptibility To"
"DB00608"	"266600"	"0.69595088"	"Chloroquine"	"Inflammatory Bowel Disease 1; Ibd1"
"DB00501"	"143465"	"0.693857798"	"Cimetidine"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00262"	"600807"	"0.693730004"	"Carmustine"	"Asthma, Susceptibility To"
"DB00215"	"157950"	"0.693654909"	"Citalopram"	"Permanent Molars, Secondary Retention Of"
"DB00521"	"165199"	"0.693390884"	"Carteolol"	"Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal"
"DB00215"	"266600"	"0.693092471"	"Citalopram"	"Inflammatory Bowel Disease 1; Ibd1"
"DB00501"	"147480"	"0.691210101"	"Cimetidine"	"Cholestasis, Intrahepatic, Of Pregnancy; Icp"
"DB00482"	"133239"	"0.691201319"	"Celecoxib"	"Esophageal Cancer"
"DB00501"	"607499"	"0.691031522"	"Cimetidine"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB04272"	"601367"	"0.690760598"	"Citric Acid"	"Stroke, Ischemic"
"DB00564"	"131300"	"0.69047669"	"Carbamazepine"	"Camurati-Engelmann Disease"
"DB00501"	"157300"	"0.690175403"	"Cimetidine"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00521"	"601682"	"0.689821806"	"Carteolol"	"Glaucoma 1, Open Angle, C; Glc1C"
"DB00564"	"192000"	"0.689746899"	"Carbamazepine"	"Uterine Anomalies"
"DB00482"	"601665"	"0.689614025"	"Celecoxib"	"Obesity"
"DB00215"	"263800"	"0.688320076"	"Citalopram"	"Gitelman Syndrome"
"DB00608"	"147530"	"0.688026055"	"Chloroquine"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00958"	"109543"	"0.68673713"	"Carboplatin"	"Leukemia, Chronic Lymphocytic, Susceptibility To, 2"
"DB00482"	"607499"	"0.68631665"	"Celecoxib"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00475"	"136200"	"0.685781458"	"Chlordiazepoxide"	"Flushing Of Ears And Somnolence"
"DB00515"	"126200"	"0.685184352"	"Cisplatin"	"Multiple Sclerosis, Susceptibility To; Ms"
"DB00482"	"165199"	"0.684388296"	"Celecoxib"	"Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal"
"DB00477"	"267740"	"0.684176653"	"Chlorpromazine"	"Retinal Degeneration And Epilepsy"
"DB00537"	"157950"	"0.6827099"	"Ciprofloxacin"	"Permanent Molars, Secondary Retention Of"
"DB00521"	"156190"	"0.682565718"	"Carteolol"	"Mental And Growth Retardation With Amblyopia"
"DB00482"	"239350"	"0.679602508"	"Celecoxib"	"Hyperphosphatemia, Polyuria, And Seizures"
"DB00501"	"164230"	"0.679551389"	"Cimetidine"	"Obsessive-Compulsive Disorder; Ocd"
"DB00215"	"144010"	"0.679222516"	"Citalopram"	"Hypercholesterolemia, Autosomal Dominant, Type B"
"DB00215"	"157300"	"0.67878116"	"Citalopram"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00501"	"239350"	"0.678685355"	"Cimetidine"	"Hyperphosphatemia, Polyuria, And Seizures"
"DB00482"	"176807"	"0.678611313"	"Celecoxib"	"Prostate Cancer"
"DB00564"	"181460"	"0.678259518"	"Carbamazepine"	"Schistosoma Mansoni Infection, Susceptibility/Resistance To"
"DB00501"	"179600"	"0.676546214"	"Cimetidine"	"Raynaud Disease"
"DB00215"	"312910"	"0.674159714"	"Citalopram"	"Spastic Paraparesis And Deafness"
"DB00521"	"303110"	"0.674017181"	"Carteolol"	"Choroideremia With Deafness And Obesity"
"DB00958"	"600351"	"0.673893479"	"Carboplatin"	"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
"DB00482"	"104300"	"0.673622417"	"Celecoxib"	"Alzheimer Disease; Ad"
"DB00501"	"200170"	"0.673070909"	"Cimetidine"	"Acanthosis Nigricans With Muscle Cramps And Acral Enlargement"
"DB00477"	"158280"	"0.670886605"	"Chlorpromazine"	"Motion Sickness"
"DB00482"	"114500"	"0.67072881"	"Celecoxib"	"Colorectal Cancer; Crc"
"DB00482"	"126200"	"0.67070583"	"Celecoxib"	"Multiple Sclerosis, Susceptibility To; Ms"
"DB00880"	"600496"	"0.669003704"	"Chlorothiazide"	"Maturity-Onset Diabetes Of The Young, Type 3; Mody3"
"DB00477"	"607459"	"0.668542742"	"Chlorpromazine"	"Sensory Ataxic Neuropathy, Dysarthria, And Ophthalmoparesis; Sando"
"DB00537"	"150600"	"0.667372244"	"Ciprofloxacin"	"Legg-Calve-Perthes Disease"
"DB00477"	"143465"	"0.666234399"	"Chlorpromazine"	"Attention Deficit-Hyperactivity Disorder; Adhd"
"DB00515"	"104300"	"0.666067863"	"Cisplatin"	"Alzheimer Disease; Ad"
"DB00564"	"601665"	"0.665489876"	"Carbamazepine"	"Obesity"
"DB01188"	"145590"	"0.663015973"	"Ciclopirox"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00262"	"155600"	"0.661428592"	"Carmustine"	"Melanoma, Cutaneous Malignant; Cmm"
"DB04272"	"126200"	"0.660101462"	"Citric Acid"	"Multiple Sclerosis, Susceptibility To; Ms"
"DB00482"	"171300"	"0.658581582"	"Celecoxib"	"Pheochromocytoma"
"DB01188"	"603165"	"0.658057434"	"Ciclopirox"	"Dermatitis, Atopic"
"DB00880"	"146255"	"0.65754409"	"Chlorothiazide"	"Hypoparathyroidism, Sensorineural Deafness, And Renal Disease"
"DB00262"	"114480"	"0.657177906"	"Carmustine"	"Breast Cancer"
"DB00262"	"148000"	"0.656863495"	"Carmustine"	"Kaposi Sarcoma"
"DB00564"	"601367"	"0.65655651"	"Carbamazepine"	"Stroke, Ischemic"
"DB00477"	"607499"	"0.656482492"	"Chlorpromazine"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00958"	"601626"	"0.655761033"	"Carboplatin"	"Leukemia, Acute Myeloid; Aml"
"DB00608"	"161900"	"0.655343265"	"Chloroquine"	"Renal Failure, Progressive, With Hypertension"
"DB00537"	"181000"	"0.655129279"	"Ciprofloxacin"	"Sarcoidosis, Susceptibility To, 1; Ss1"
"DB00564"	"208230"	"0.655128631"	"Carbamazepine"	"Arthropathy, Progressive Pseudorheumatoid, Of Childhood; Ppac"
"DB00482"	"145590"	"0.655108398"	"Celecoxib"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00262"	"304790"	"0.65506899"	"Carmustine"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00215"	"208700"	"0.65367991"	"Citalopram"	"Ataxia With Myoclonic Epilepsy And Presenile Dementia"
"DB00482"	"264120"	"0.651731719"	"Celecoxib"	"Prolactin Deficiency With Obesity And Enlarged Testes"
"DB00515"	"601626"	"0.651684131"	"Cisplatin"	"Leukemia, Acute Myeloid; Aml"
"DB01136"	"157300"	"0.65135089"	"Carvedilol"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00215"	"153880"	"0.651173121"	"Citalopram"	"Macular Edema, Cystoid"
"DB00608"	"258360"	"0.650914229"	"Chloroquine"	"Onychotrichodysplasia And Neutropenia"
"DB00564"	"104300"	"0.649738208"	"Carbamazepine"	"Alzheimer Disease; Ad"
"DB00537"	"103100"	"0.648947699"	"Ciprofloxacin"	"Adie Pupil"
"DB00880"	"110100"	"0.648706945"	"Chlorothiazide"	"Blepharophimosis, Ptosis, And Epicanthus Inversus; Bpes"
"DB04272"	"154276"	"0.647914967"	"Citric Acid"	"Malignant Hyperthermia, Susceptibility To, 3"
"DB00501"	"276300"	"0.647898415"	"Cimetidine"	"Mismatch Repair Cancer Syndrome"
"DB00482"	"194070"	"0.647874853"	"Celecoxib"	"Wilms Tumor 1; Wt1"
"DB00880"	"304790"	"0.64740924"	"Chlorothiazide"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00880"	"166710"	"0.647277357"	"Chlorothiazide"	"Osteoporosis"
"DB00608"	"260480"	"0.647001415"	"Chloroquine"	"Pancreatitis, Sclerosing Cholangitis, And Sicca Complex"
"DB00537"	"157300"	"0.646203282"	"Ciprofloxacin"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB04272"	"125851"	"0.645988933"	"Citric Acid"	"Maturity-Onset Diabetes Of The Young, Type 2; Mody2"
"DB00537"	"144010"	"0.645820118"	"Ciprofloxacin"	"Hypercholesterolemia, Autosomal Dominant, Type B"
"DB00482"	"104130"	"0.645473787"	"Celecoxib"	"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
"DB01188"	"266600"	"0.645326475"	"Ciclopirox"	"Inflammatory Bowel Disease 1; Ibd1"
"DB00537"	"103780"	"0.645173733"	"Ciprofloxacin"	"Alcohol Dependence"
"DB04272"	"601042"	"0.645125481"	"Citric Acid"	"Choreoathetosis/Spasticity, Episodic; Cse"
"DB00958"	"144700"	"0.645113149"	"Carboplatin"	"Renal Cell Carcinoma, Nonpapillary; Rcc"
"DB00515"	"191390"	"0.644913656"	"Cisplatin"	"Inflammatory Bowel Disease 11; Ibd11"
"DB04272"	"160750"	"0.6446292"	"Citric Acid"	"Myositis"
"DB00310"	"145500"	"0.644566589"	"Chlorthalidone"	"Hypertension, Essential"
"DB00501"	"190400"	"0.644203471"	"Cimetidine"	"Trigeminal Neuralgia"
"DB00215"	"171300"	"0.643445275"	"Citalopram"	"Pheochromocytoma"
"DB00608"	"603165"	"0.643291918"	"Chloroquine"	"Dermatitis, Atopic"
"DB04272"	"104300"	"0.642498169"	"Citric Acid"	"Alzheimer Disease; Ad"
"DB00515"	"109543"	"0.642363169"	"Cisplatin"	"Leukemia, Chronic Lymphocytic, Susceptibility To, 2"
"DB00521"	"158280"	"0.641935488"	"Carteolol"	"Motion Sickness"
"DB00482"	"270960"	"0.641562141"	"Celecoxib"	"Azoospermia Due To Perturbations Of Meiosis"
"DB00356"	"157300"	"0.641359858"	"Chlorzoxazone"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00477"	"127750"	"0.64080495"	"Chlorpromazine"	"Dementia, Lewy Body; Dlb"
"DB00564"	"600263"	"0.640454652"	"Carbamazepine"	"Helicobacter Pylori Infection, Susceptibility To"
"DB00521"	"300494"	"0.640086837"	"Carteolol"	"Asperger Syndrome, X-Linked, Susceptibility To, 1"
"DB04272"	"157700"	"0.639425259"	"Citric Acid"	"Mitral Valve Prolapse, Familial; Mvp"
"DB00475"	"608622"	"0.638921624"	"Chlordiazepoxide"	"Hypertension, Diastolic, Resistance To"
"DB04272"	"167870"	"0.636757547"	"Citric Acid"	"Panic Disorder 1; Pand1"
"DB00356"	"607499"	"0.63670637"	"Chlorzoxazone"	"Bulimia Nervosa, Susceptibility To, 1; Buln1"
"DB00215"	"275000"	"0.636123216"	"Citalopram"	"Graves Disease"
"DB00356"	"161900"	"0.63430051"	"Chlorzoxazone"	"Renal Failure, Progressive, With Hypertension"
"DB00672"	"215140"	"0.6335749"	"Chlorpropamide"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00262"	"254450"	"0.631926279"	"Carmustine"	"Myelofibrosis"
"DB00215"	"208550"	"0.630864553"	"Citalopram"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00880"	"150600"	"0.630679299"	"Chlorothiazide"	"Legg-Calve-Perthes Disease"
"DB04272"	"203700"	"0.630547381"	"Citric Acid"	"Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis"
"DB00608"	"157300"	"0.62986354"	"Chloroquine"	"Migraine With Or Without Aura, Susceptibility To, 1"
"DB00475"	"181460"	"0.629805956"	"Chlordiazepoxide"	"Schistosoma Mansoni Infection, Susceptibility/Resistance To"
"DB00482"	"150699"	"0.627426888"	"Celecoxib"	"Leiomyoma, Uterine; Ul"
"DB04272"	"147530"	"0.627241126"	"Citric Acid"	"Insensitivity To Pain With Hyperplastic Myelinopathy"
"DB00501"	"161900"	"0.627102446"	"Cimetidine"	"Renal Failure, Progressive, With Hypertension"
"DB00215"	"255900"	"0.62586873"	"Citalopram"	"Myxedema"
"DB00564"	"168100"	"0.625663016"	"Carbamazepine"	"Paralysis Agitans, Juvenile, Of Hunt"
"DB00262"	"188050"	"0.625586179"	"Carmustine"	"Thrombosis, Susceptibility To"
"DB04272"	"144010"	"0.623887784"	"Citric Acid"	"Hypercholesterolemia, Autosomal Dominant, Type B"
"DB01188"	"106400"	"0.62332193"	"Ciclopirox"	"Ankylosing Vertebral Hyperostosis With Tylosis"
"DB00482"	"608088"	"0.622385431"	"Celecoxib"	"Neuropathy, Hereditary Sensory And Autonomic, Type I, With Cough And Gastroesophageal Reflux"
"DB00537"	"231200"	"0.622268802"	"Ciprofloxacin"	"Bernard-Soulier Syndrome; Bss"
"DB00880"	"171300"	"0.622219552"	"Chlorothiazide"	"Pheochromocytoma"
"DB00537"	"252320"	"0.62067066"	"Ciprofloxacin"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB04272"	"125700"	"0.620551106"	"Citric Acid"	"Diabetes Insipidus, Neurohypophyseal"
"DB00215"	"140300"	"0.620123457"	"Citalopram"	"Hashimoto Thyroiditis"
"DB00477"	"125310"	"0.619348659"	"Chlorpromazine"	"Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts"
"DB00958"	"304790"	"0.619258177"	"Carboplatin"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00958"	"254500"	"0.619172003"	"Carboplatin"	"Myeloma, Multiple"
"DB00564"	"126200"	"0.6178453"	"Carbamazepine"	"Multiple Sclerosis, Susceptibility To; Ms"
"DB04272"	"107650"	"0.616574431"	"Citric Acid"	"Apnea, Obstructive Sleep"
"DB00356"	"252320"	"0.614605201"	"Chlorzoxazone"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00564"	"165720"	"0.613746955"	"Carbamazepine"	"Osteoarthritis Susceptibility 1; Os1"
"DB04272"	"254500"	"0.613520328"	"Citric Acid"	"Myeloma, Multiple"
"DB00608"	"158280"	"0.612286062"	"Chloroquine"	"Motion Sickness"
"DB00215"	"165150"	"0.612258667"	"Citalopram"	"Ophthalmoplegia, Progressive, With Scrotal Tongue And Mental Deficiency"
"DB00608"	"208300"	"0.611872143"	"Chloroquine"	"Ascites, Chylous"
"DB00262"	"601367"	"0.611735183"	"Carmustine"	"Stroke, Ischemic"
"DB01101"	"266600"	"0.610163517"	"Capecitabine"	"Inflammatory Bowel Disease 1; Ibd1"
"DB00215"	"143880"	"0.610087273"	"Citalopram"	"Hypercalcemia, Idiopathic, Of Infancy"
"DB00672"	"145500"	"0.610073546"	"Chlorpropamide"	"Hypertension, Essential"
"DB00501"	"602068"	"0.609757179"	"Cimetidine"	"Leishmaniasis, Tegumentary, Susceptibility To"
"DB00608"	"167870"	"0.609225455"	"Chloroquine"	"Panic Disorder 1; Pand1"
"DB00215"	"268320"	"0.609198351"	"Citalopram"	"Rodrigues Blindness"
"DB04272"	"600807"	"0.609158039"	"Citric Acid"	"Asthma, Susceptibility To"
"DB00958"	"267730"	"0.608046642"	"Carboplatin"	"Reticulum Cell Sarcoma"
"DB00477"	"225740"	"0.605780326"	"Chlorpromazine"	"Encephalopathy, Axonal, With Necrotizing Myopathy, Cardiomyopathy,"
"DB00564"	"203700"	"0.605754865"	"Carbamazepine"	"Alpers Diffuse Degeneration Of Cerebral Gray Matter With Hepatic Cirrhosis"
"DB00564"	"608033"	"0.605661432"	"Carbamazepine"	"Encephalopathy, Acute Necrotizing 1, Susceptibility To; Ane1"
"DB04272"	"208550"	"0.605516862"	"Citric Acid"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00521"	"144010"	"0.604892906"	"Carteolol"	"Hypercholesterolemia, Autosomal Dominant, Type B"
"DB01101"	"601626"	"0.603544193"	"Capecitabine"	"Leukemia, Acute Myeloid; Aml"
"DB00215"	"606703"	"0.603359882"	"Citalopram"	"Dyskinesia, Familial, With Facial Myokymia"
"DB00564"	"109543"	"0.603085584"	"Carbamazepine"	"Leukemia, Chronic Lymphocytic, Susceptibility To, 2"
"DB01136"	"145500"	"0.602116616"	"Carvedilol"	"Hypertension, Essential"
"DB00477"	"252320"	"0.600921123"	"Chlorpromazine"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00262"	"187950"	"0.600918325"	"Carmustine"	"Thrombocythemia, Essential"
"DB00482"	"266600"	"0.600713657"	"Celecoxib"	"Inflammatory Bowel Disease 1; Ibd1"
"DB00608"	"252320"	"0.600383045"	"Chloroquine"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00215"	"137800"	"0.599976152"	"Citalopram"	"Glioma Susceptibility 1; Glm1"
"DB00564"	"157950"	"0.599879494"	"Carbamazepine"	"Permanent Molars, Secondary Retention Of"
"DB00958"	"155601"	"0.599832997"	"Carboplatin"	"Melanoma, Cutaneous Malignant, Susceptibility To, 2; Cmm2"
"DB00537"	"153880"	"0.599252205"	"Ciprofloxacin"	"Macular Edema, Cystoid"
"DB04272"	"125310"	"0.599042532"	"Citric Acid"	"Cerebral Arteriopathy, Autosomal Dominant, With Subcortical Infarcts"
"DB00477"	"608105"	"0.598938425"	"Chlorpromazine"	"Epilepsy, Rolandic, With Paroxysmal Exercise-Induced Dystonia And"
"DB00482"	"189800"	"0.598373796"	"Celecoxib"	"Preeclampsia/Eclampsia 1; Pee1"
"DB00564"	"607850"	"0.597915489"	"Carbamazepine"	"Osteoarthritis Susceptibility 3; Os3"
"DB00482"	"601367"	"0.597405917"	"Celecoxib"	"Stroke, Ischemic"
"DB04272"	"200170"	"0.597381448"	"Citric Acid"	"Acanthosis Nigricans With Muscle Cramps And Acral Enlargement"
"DB00501"	"104130"	"0.596477515"	"Cimetidine"	"Alopecia, Psychomotor Epilepsy, Pyorrhea, And Mental Subnormality"
"DB00564"	"601608"	"0.596287122"	"Carbamazepine"	"Spastic Paraplegia And Evans Syndrome"
"DB04272"	"252320"	"0.595575223"	"Citric Acid"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB01136"	"190300"	"0.595053729"	"Carvedilol"	"Tremor, Hereditary Essential, 1; Etm1"
"DB00880"	"178600"	"0.594887244"	"Chlorothiazide"	"Pulmonary Hypertension, Primary, 1; Pph1"
"DB00608"	"602068"	"0.594217247"	"Chloroquine"	"Leishmaniasis, Tegumentary, Susceptibility To"
"DB01188"	"278200"	"0.593723315"	"Ciclopirox"	"Woolly Hair, Hypotrichosis, Everted Lower Lip, And Outstanding Ears"
"DB00564"	"145500"	"0.593272374"	"Carbamazepine"	"Hypertension, Essential"
"DB00215"	"102100"	"0.591876315"	"Citalopram"	"Acromegaloid Changes, Cutis Verticis Gyrata, And Corneal Leukoma"
"DB04272"	"600351"	"0.59173087"	"Citric Acid"	"Enteropathy, Familial, With Villous Edema And Immunoglobulin G2 Deficiency"
"DB00564"	"145200"	"0.591623792"	"Carbamazepine"	"Hyperpigmentation Of Fuldauer And Kuijpers"
"DB00310"	"208550"	"0.591193521"	"Chlorthalidone"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00880"	"239350"	"0.589475534"	"Chlorothiazide"	"Hyperphosphatemia, Polyuria, And Seizures"
"DB00880"	"145590"	"0.589374233"	"Chlorothiazide"	"Hyperthermia, Cutaneous, With Headaches And Nausea"
"DB00482"	"208550"	"0.589338799"	"Celecoxib"	"Asthma, Nasal Polyps, And Aspirin Intolerance"
"DB00262"	"266600"	"0.589101554"	"Carmustine"	"Inflammatory Bowel Disease 1; Ibd1"
"DB00521"	"215140"	"0.588821148"	"Carteolol"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00564"	"255900"	"0.587638834"	"Carbamazepine"	"Myxedema"
"DB00475"	"264120"	"0.586949653"	"Chlordiazepoxide"	"Prolactin Deficiency With Obesity And Enlarged Testes"
"DB01188"	"145100"	"0.586884133"	"Ciclopirox"	"Hyperpigmentation Of Eyelids"
"DB00564"	"304790"	"0.585349086"	"Carbamazepine"	"Immunodysregulation, Polyendocrinopathy, And Enteropathy, X-Linked;"
"DB00501"	"133239"	"0.585225894"	"Cimetidine"	"Esophageal Cancer"
"DB00537"	"166300"	"0.585196818"	"Ciprofloxacin"	"Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy"
"DB00482"	"114480"	"0.584476799"	"Celecoxib"	"Breast Cancer"
"DB00482"	"102300"	"0.583524889"	"Celecoxib"	"Restless Legs Syndrome, Susceptibility To, 1; Rls1"
"DB00672"	"166300"	"0.581722779"	"Chlorpropamide"	"Osteolysis, Hereditary, Of Carpal Bones With Or Without Nephropathy"
"DB00608"	"125600"	"0.581319983"	"Chloroquine"	"Dermatosis Papulosa Nigra"
"DB00501"	"600082"	"0.581249747"	"Cimetidine"	"Prostatic Hyperplasia, Benign; Bph"
"DB00515"	"270960"	"0.580938384"	"Cisplatin"	"Azoospermia Due To Perturbations Of Meiosis"
"DB00537"	"179600"	"0.58086311"	"Ciprofloxacin"	"Raynaud Disease"
"DB00501"	"215140"	"0.580684767"	"Cimetidine"	"Hydrops-Ectopic Calcification-Moth-Eaten Skeletal Dysplasia"
"DB00215"	"165199"	"0.580598397"	"Citalopram"	"Optic Atrophy, Hearing Loss, And Peripheral Neuropathy, Autosomal"
"DB00215"	"125700"	"0.579187463"	"Citalopram"	"Diabetes Insipidus, Neurohypophyseal"
"DB00521"	"252320"	"0.578796217"	"Carteolol"	"Motor Neuropathy, Peripheral, With Dysautonomia"
"DB00880"	"175100"	"0.577733607"	"Chlorothiazide"	"Adenomatous Polyposis Of The Colon; Apc"
"DB00501"	"115000"	"0.577243262"	"Cimetidine"	"Cardiac Arrhythmia"
"DB00482"	"181500"	"0.576614537"	"Celecoxib"	"Schizophrenia; Sczd"
"DB00501"	"189800"	"0.575323971"	"Cimetidine"	"Preeclampsia/Eclampsia 1; Pee1"
"DB00608"	"226150"	"0.575031546"	"Chloroquine"	"Enterocolitis"
